병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,데이터기준일자
안산효요양병원,요양병원,031-414-7233,"경기도 안산시 단원구 원포공원1로 30, 서해프라자 5층,6층 일부(601,602)호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
우리요양병원,요양병원,031-413-5757,"경기도 안산시 단원구 원포공원1로 30, 서해프라자 203,204,301~307호 (초지동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,,,,2022-06-01
우성요양병원,요양병원,031-599-6000,"경기도 안산시 단원구 중앙대로 861 (고잔동, 우성요양병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,,,2022-06-01
의료법인더존의료재단 경희요양병원,요양병원,031-402-2222,"경기도 안산시 단원구 광덕대로 162, 광덕대로 154 (고잔동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,,,2022-06-01
의료법인효송의료재단서안산노인전문병원,요양병원,031-406-7777,"경기도 안산시 단원구 원포공원로 54, 프라임아트 104~107호, 201호, 207호, 207-1호, 209호, 210호, 4층, 5층 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
호수요양병원,요양병원,031-475-6114,"경기도 안산시 단원구 광덕1로 159, 대림프라자 115호, 403~404호, 501~503호, 601~607호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
365드림의원,의원,031-364-8015,"경기도 안산시 단원구 선부광장1로 56, 3층 301,308호일부,309호 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~14:00,09:00~14:00,2022-06-01
강남바른추의원,의원,031-405-8275,"경기도 안산시 단원구 광덕3로 167, 신영프라자 303,304호 (고잔동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,,,2022-06-01
강남의원,의원,031-491-6666,"경기도 안산시 단원구 원선1로 38, 상가동 206~210호 (초지동,  )",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,,,2022-06-01
강남피부과의원,의원,031-507-0060,"경기도 안산시 단원구 고잔2길 45, 403호 (고잔동, 크스모플라자)",10:00~19:00,10:00~20:00,10:00~19:00,,10:00~20:00,10:00~15:00,,,2022-06-01
건강한미래항외과의원,의원,031-414-8275,"경기도 안산시 단원구 광덕2로 185, 금성센터빌딩 201~203호 (고잔동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,,,2022-06-01
건외과의원,의원,031-493-8274,"경기도 안산시 단원구 다문화2길 51, 3층 (원곡동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~13:00,09:00~13:00,09:00~13:00,2022-06-01
경혜신소아과의원,의원,031-485-1063,"경기도 안산시 단원구 예술대학로 83, 202호 (고잔동)",09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
고광섭내과의원,의원,031-403-1482,"경기도 안산시 단원구 화랑로 358, 206호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
고대정형외과의원,의원,031-480-7555,"경기도 안산시 단원구 선부로 245, 1~4층 (와동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:00~14:00,,,2022-06-01
고려가정의원,의원,031-484-6047,"경기도 안산시 단원구 인현중앙길 25, 204-1,2호 (고잔동, 삼두상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
고려메디웰의원,의원,031-475-2727,"경기도 안산시 단원구 광덕대로 181, 3층 (고잔동, BYC빌딩)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~14:00,,,2022-06-01
고려신경외과의원,의원,031-482-5072,"경기도 안산시 단원구 화랑로 358, 213,214호 (고잔동, 자유센타)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
고려정외과의원,의원,031-487-9897,경기도 안산시 단원구 광덕3로 178  (고잔동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
고은산부인과의원,의원,031-492-5700,"경기도 안산시 단원구 중앙대로 459, 4층 (원곡동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,12:00~17:00,12:00~17:00,2022-06-01
고잔명내과의원,의원,031-402-7600,"경기도 안산시 단원구 고잔2길 45, 코스모프라자 8층 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,,,2022-06-01
고잔방사선과의원,의원,031-504-7577,"경기도 안산시 단원구 광덕대로 151, 508호 (고잔동, 삼영타운)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
고잔연세소아청소년과의원,의원,031-503-1119,"경기도 안산시 단원구 광덕대로 174, B동 503,507-2호 (고잔동, 월드타운)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~16:00,09:00~13:00,09:00~16:00,2022-06-01
고잔우리들소아과의원,의원,031-411-5005,"경기도 안산시 단원구 초지로 100, 305호 (초지동, 세종프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
고잔이비인후과의원,의원,031-411-5075,경기도 안산시 단원구 광덕동로 55  (고잔동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,09:00~12:00,2022-06-01
고잔제일소아과의원,의원,031-401-5990,"경기도 안산시 단원구 원포공원1로 49, 201,202호 (초지동, 태영타운)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~16:00,09:00~13:00,09:00~13:00,2022-06-01
고잔하나이비인후과의원,의원,031-486-9681,"경기도 안산시 단원구 광덕대로 174, 208호 (고잔동, 월드타운)",09:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
굿모닝의원,의원,032-881-7555,"경기도 안산시 단원구 대부중앙로 105, 2층 207호 (대부북동)",08:30~17:30,08:30~17:30,08:30~13:00,08:30~17:30,08:30~17:30,08:30~13:30,,,2022-06-01
굿모닝이비인후과의원,의원,031-410-2209,"경기도 안산시 단원구 선부광장1로 70, 2층 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
굿이비인후과의원,의원,031-439-5075,"경기도 안산시 단원구 고잔로 88, 606호, 예술대학로 17, 919호 (고잔동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
기분조은이비인후과의원,의원,031-486-4652,"경기도 안산시 단원구 선부광장1로 56, 308호 (선부동, 일성미즈마트)",09:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
길맨비뇨기과의원,의원,031-487-7582,"경기도 안산시 단원구 중앙대로 907, 1동 4층 1401호 (고잔동, 안산종합상가)",09:30~18:00,09:30~18:00,09:30~18:00,14:00~18:00,09:30~18:00,09:30~16:00,,,2022-06-01
김내과의원,의원,031-484-2636,"경기도 안산시 단원구 고잔1길 16, 501호 (고잔동, 중앙아케이트빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
김비뇨기과의원,의원,031-484-1991,"경기도 안산시 단원구 예술대학로 9, 308호 (고잔동, 보배프라자)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
김안과의원,의원,031-410-7744,"경기도 안산시 단원구 선부광장1로 70, 304호 (선부동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
김영수비뇨기과의원,의원,031-403-6467,"경기도 안산시 단원구 선부광장1로 62, 303,304호 (선부동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
김영준내과의원,의원,031-483-3175,"경기도 안산시 단원구 선부광장1로 62, 308호 (선부동, 동원빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~13:00,,,2022-06-01
김장호성형외과의원,의원,031-486-2006,"경기도 안산시 단원구 예술대학로 17, 518호 (고잔동, 중앙노블레스빌딩)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~15:30,,,2022-06-01
김재덕성형외과의원,의원,031-410-4300,"경기도 안산시 단원구 고잔1길 40, 4층 402호 (고잔동, 동원빌딩)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
김정우외과의원,의원,031-486-6633,경기도 안산시 단원구 고잔로 76,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,,,2022-06-01
김태준내과의원,의원,031-483-7575,"경기도 안산시 단원구 원선로 50, 406호 (원곡동, 벽산상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
김한규정형외과의원,의원,031-418-0119,"경기도 안산시 단원구 광덕1로 195, 광장타워 402호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
꾸러기소아청소년과의원,의원,031-482-6900,"경기도 안산시 단원구 선부광장1로 82 (선부동, 서림프라자)",09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
내마음내과의원,의원,031-480-6870,"경기도 안산시 단원구 예술대학로 17, 504호,505호 (고잔동, 중앙노블레스)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:00~13:00,,,2022-06-01
넘버원정형외과의원,의원,031-482-1175,"경기도 안산시 단원구 광덕4로 234, 2층 209~213호 (고잔동, 천혜로데오프라자)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,09:00~19:00,09:00~14:00,,,2022-06-01
노블클래식의원,의원,031-403-1121,"경기도 안산시 단원구 고잔로 88, 605호 (고잔동)",10:00~19:00,10:00~20:00,10:00~19:00,,10:00~20:00,09:00~15:00,,,2022-06-01
노상원정형외과의원,의원,031-483-2211,"경기도 안산시 단원구 원초로 30, 보성프라자 3층 307호 (원곡동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
다시봄날의원,의원,031-522-5050,"경기도 안산시 단원구 광덕대로 168, 신화타운 502호 (고잔동)",10:00~20:30,10:00~20:30,10:00~20:30,10:00~20:30,10:00~20:30,10:00~16:00,,,2022-06-01
닥터디자이너의원,의원,031-506-9372~4,"경기도 안산시 단원구 고잔1길 33, 봉산빌딩 302호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,,,,2022-06-01
닥터스피부과의원,의원,031-509-6606,"경기도 안산시 단원구 고잔2길 59, 601호 (고잔동, 신세기빌딩)",10:00~19:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~19:30,10:00~16:00,,,2022-06-01
닥터준의원,의원,031-364-8253,"경기도 안산시 단원구 선부광장1로 56, 3층 306호 (선부동)",09:30~20:00,09:30~20:00,09:30~20:00,,09:30~20:00,09:30~16:00,,,2022-06-01
단원맑은안과의원,의원,031-8040-5588,"경기도 안산시 단원구 원포공원1로 20, 3층 304호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
대한산업보건협회부설안산성모의원,의원,031-498-1063,경기도 안산시 단원구 신길로1길 86 (신길동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,,,2022-06-01
더베스트내과의원,의원,031-487-1119,"경기도 안산시 단원구 광덕대로 154, 로데오타운 A동 202,205,216-1,217,218,220~222호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
더푸른의원,의원,031-413-0150,"경기도 안산시 단원구 원초로 23, 안산8차푸르지오상가 상가동 B06-1,B07,B07-1호 (원곡동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
두리연합의원,의원,031-411-0606,"경기도 안산시 단원구 라성로 36, B동 201호 (원곡동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,,,2022-06-01
드림소아청소년과의원,의원,031-401-9975,"경기도 안산시 단원구 원포공원1로 46, 1층 (초지동, 이마트)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:00,10:00~18:00,10:00~18:00,2022-06-01
라임한의원,의원,031-418-7575,"경기도 안산시 단원구 고잔로 88, 702,703,704호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
라파통증의학과의원,의원,031-494-7585,"경기도 안산시 단원구 라성로 43, 벽산블루밍아파트 308~309,313~315호 (원곡동)",09:00~20:00,14:00~20:00,09:00~20:00,14:00~20:00,09:00~20:00,09:00~14:00,,,2022-06-01
로앤산부인과의원,의원,031-414-8833,"경기도 안산시 단원구 고잔1길 33, 2층 (고잔동, 봉산빌딩)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~18:00,,09:00~13:00,2022-06-01
루르드여성의원,의원,031-439-2079,경기도 안산시 단원구 광덕대로 174 (고잔동),09:00~20:00,09:00~20:00,,09:00~20:00,09:00~20:00,09:00~17:00,,,2022-06-01
루카스건강검진센터루카스내과의원,의원,1833-5113,"경기도 안산시 단원구 광덕2로 164, 164-4, 4층 (고잔동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,,,2022-06-01
마디웰정형외과의원,의원,031-439-5475,"경기도 안산시 단원구 선부광장1로 30 (선부동, 단원프라자)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,,,2022-06-01
마디편한의원,의원,031-414-7133,"경기도 안산시 단원구 와동공원로 145, 2,3층 (와동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,2022-06-01
마음의날씨정신건강의학과의원,의원,031-402-1789,"경기도 안산시 단원구 선부광장1로 82, 서림프라자 3층 305호 (선부동)",10:00~19:00,10:00~20:00,10:00~14:00,10:00~19:00,10:00~20:00,10:00~14:00,,10:00~19:00,2022-06-01
마음토닥정신건강의학과의원,의원,031-483-5989,"경기도 안산시 단원구 광덕대로 174, C동 518호 (고잔동, 월드타운)",10:00~18:30,10:00~18:30,14:00~20:30,10:00~18:30,10:00~18:30,09:30~14:30,,,2022-06-01
맑은누리의원,의원,031-411-7979,"경기도 안산시 단원구 광덕대로 181 (고잔동, (고잔동 BYC빌딩 505호))",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
맑은샘이비인후과의원,의원,031-401-3175,"경기도 안산시 단원구 라성로 43, 벽산블루밍아파트 401,402,403,404,404-1호 (원곡동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
맑은수내과의원,의원,031-503-5700,"경기도 안산시 단원구 광덕4로 220, 밀레니엄프라자 301~304호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,09:00~13:00,2022-06-01
맑은안과의원,의원,031-486-4500,"경기도 안산시 단원구 라성로 43 (원곡동,벽산상가 3층 311,312호)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
메이퀸이지은산부인과의원,의원,031-401-7777,"경기도 안산시 단원구 선부광장1로 10, 302호, 501(일부)호 (선부동, 동양빌딩)",09:00~19:00,14:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
멘파워비뇨기과의원,의원,031-411-5700,"경기도 안산시 단원구 광덕4로 112, 302~304호 (고잔동, 슈마프라자)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
명문소아청소년과의원,의원,031-439-3363,"경기도 안산시 단원구 고잔로 76 (고잔동, 영풍프라자 3층)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
명성의원,의원,031-485-8503,"경기도 안산시 단원구 북촌3길 19-1, 101,201,202호 (선부동)",09:00~19:00,09:00~18:00,09:00~12:30,09:00~19:00,09:00~18:00,09:00~12:30,,,2022-06-01
모아내과의원,의원,031-405-3567,경기도 안산시 단원구 고잔1길 17  (고잔동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,,,2022-06-01
미드림의원,의원,031-410-5700,"경기도 안산시 단원구 광덕3로 167, 301,302호 (고잔동, 신영프라자)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~16:00,,,2022-06-01
미래연합의원,의원,031-405-8575,"경기도 안산시 단원구 보배4길 1, 2층 (고잔동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,,,2022-06-01
미모산부인과의원,의원,031-402-3361,경기도 안산시 단원구 고잔로 76 (고잔동),09:30~18:00,09:30~19:30,09:30~18:00,09:30~18:00,09:30~19:30,09:30~13:30,,,2022-06-01
미앤미의원,의원,031-439-0110,"경기도 안산시 단원구 고잔1길 7, 3층 304호 (고잔동, 석탑프라자)",10:00~19:00,10:00~19:00,13:00~21:00,10:00~19:00,13:00~21:00,10:00~16:00,,,2022-06-01
바른연세정형외과의원,의원,031-408-8500,"경기도 안산시 단원구 선부광장1로 82, 서림프라자 3층 내부적 301,302호 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
밝은마음정신건강의학과의원,의원,031-410-0210,"경기도 안산시 단원구 선부광장1로 38, 301,307,308호 (선부동, 상록타운)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,,,,2022-06-01
배현미산부인과의원,의원,031-401-9186,"경기도 안산시 단원구 예술대학로 20, 202호 (고잔동, 전원빌딩)",09:30~19:00,09:30~19:00,14:00~19:00,09:30~19:00,09:30~19:00,09:30~13:00,,,2022-06-01
보라성형외과의원,의원,031-483-3366,"경기도 안산시 단원구 고잔1길 7, 3층 306~308호 (고잔동, 석탑프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,,,2022-06-01
본이비인후과의원,의원,031-411-7727,경기도 안산시 단원구 선부광장1로 62  (선부동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
블리비의원,의원,1833-6329,"경기도 안산시 단원구 고잔로 108, 대동조이월드 208,209,210호 (고잔동)",,10:30~19:00,10:30~19:00,10:30~19:00,10:30~19:00,10:30~16:00,,,2022-06-01
비에이성형외과의원,의원,031-485-7575,"경기도 안산시 단원구 광덕동로 91, 206,207호 (고잔동, 씨티프라자)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~16:00,,,2022-06-01
사랑샘의원,의원,031-402-7533,"경기도 안산시 단원구 초지동로 7, 203호 (초지동, 한남스포랜드)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
사회복지법인강물부설 안산제일복지의원,의원,031-482-7002,경기도 안산시 단원구 원초로 76 (초지동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,,,2022-06-01
삼성드림의원,의원,031-403-8575,"경기도 안산시 단원구 화정천동로4길 24 (와동, 진목공)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,,2022-06-01
삼성참편한내과의원,의원,031-483-5678,"경기도 안산시 단원구 화랑로 103, 라성프라자 C동 1층 A1~A8, 115호 (원곡동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,,,2022-06-01
새론마음의원,의원,031-487-8155,경기도 안산시 단원구 광덕대로 181 (고잔동),10:00~16:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,09:00~14:30,,,2022-06-01
서울가정의원,의원,031-401-1275,"경기도 안산시 단원구 화정로 95, 2층 (와동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,12:00~18:00,,2022-06-01
서울김안과의원,의원,031-483-7581,경기도 안산시 단원구 광덕1로 55  (초지동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
서울안과의원,의원,031-507-0234,"경기도 안산시 단원구 광덕대로 174, B동 407,505호 (고잔동, 월드타운)",10:00~20:00,10:00~18:30,10:00~18:30,10:00~20:00,10:00~18:30,09:40~14:00,,,2022-06-01
서울엔(N)비뇨기과의원,의원,031-503-8585,"경기도 안산시 단원구 고잔2길 41, 신양복합빌딩 305, 306호 (고잔동)",09:30~20:00,09:30~19:00,09:30~20:00,09:30~19:00,09:30~20:00,09:30~16:00,,,2022-06-01
서울유항외과의원,의원,031-439-7571,"경기도 안산시 단원구 예술대학로 17 (고잔동, 안산중앙노블레스)",09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~18:00,09:00~15:30,,,2022-06-01
서울윤가정의학과의원,의원,031-364-8119,"경기도 안산시 단원구 선삼로 21, 1층 (선부동)",09:00~18:30,09:00~18:30,14:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,,,2022-06-01
서울참피부과의원,의원,031-414-0075,"경기도 안산시 단원구 광덕대로 174, 504호 (고잔동, 월드타운)",10:00~20:30,10:00~19:00,,10:00~20:30,10:00~19:00,10:00~16:00,,,2022-06-01
